역명,degree,betweenness,closeness,pagerank,환승역,호선수,혼잡도,군집,z_betweenness,z_pagerank,z_혼잡도,BI_매개혼잡,CHI_영향력혼잡
총신대입구,0.008333333333333333,0.07151300059772864,0.08,0.0038246914196947237,False,1,31.548717948717957,3,0.2991646146178979,-0.32846638206414425,-0.23835232234859272,0.06081229226930518,-0.566818704412737
남태령,0.004166666666666667,0.0,0.07402837754472548,0.002180078800883162,False,1,50.30512820512821,1,-1.2548835827392406,-1.8990833279313795,1.324341097450878,0.06945751471163741,-0.5747422304805014
김포공항,0.008333333333333333,0.016596931659693167,0.057430007178750894,0.0044867864948085374,False,1,9.65,1,-0.894215850832813,0.30383920336937387,-2.06284762676382,-2.957063477596633,-1.7590084233944463
송정,0.008333333333333333,0.0247907949790795,0.060851926977687626,0.0043023856352245714,False,1,14.587179487179489,1,-0.7161551008369926,0.12773504876039943,-1.6515057019758659,-2.3676608028128587,-1.5237706532154665
마곡,0.008333333333333333,0.03291492329149233,0.0646725949878739,0.0041750556743770095,False,1,17.20641025641026,0,-0.5396097614794347,0.0061340152183440065,-1.4332840576388655,-1.9728938191183003,-1.4271500424205215
발산,0.008333333333333333,0.04096931659693166,0.06896551724137931,0.00405397329390558,False,1,21.562820512820508,0,-0.36457983276013894,-0.10950053387796259,-1.0703290172780593,-1.4349088500381981,-1.179829551156022
우장산,0.008333333333333333,0.04895397489539749,0.07382343894186404,0.0039014564001160056,False,1,25.21025641025641,1,-0.19106531467910556,-0.25515527054783005,-0.7664422927852704,-0.957507607464376,-1.0215975633331005
화곡,0.008333333333333333,0.05686889818688982,0.07936507936507936,0.0036596360078623136,False,1,29.36282051282051,2,-0.019066207236334475,-0.486095494151592,-0.4204707284154494,-0.43953693565178387,-0.9065662225670414
신정,0.008333333333333333,0.0725734708109185,0.08108108108108109,0.0035989893502542994,False,1,33.162820512820524,1,0.3222096806811864,-0.5440134908030996,-0.1038731005080229,0.21833658017316349,-0.6478865913111225
목동,0.008333333333333333,0.06734334528790592,0.07714561234329798,0.0037586600198333195,False,1,35.82692307692306,1,0.20855388281151324,-0.39152684651357816,0.11808704483328025,0.32664092764479347,-0.2734398016802979
오목교,0.008333333333333333,0.06296166234973763,0.07391438250692947,0.0037789022339178415,False,1,39.900000000000006,1,0.11333558104069875,-0.37219538565807475,0.4574361217097634,0.5707717027504622,0.08524073605168864
양평,0.008333333333333333,0.05988751079232247,0.07220216606498195,0.0036703270754564745,False,1,42.81666666666666,1,0.04653122873730224,-0.47588544727445253,0.7004386869895846,0.7469699157268868,0.22455323971513202
영등포시장,0.008333333333333333,0.008466992096699204,0.06754855052068674,0.0036975233196423025,False,1,33.719230769230776,0,-1.0708874744102264,-0.44991283737615834,-0.05751568805464177,-1.128403162464868,-0.5074285254308001
신길,0.008333333333333333,0.007440476190476186,0.06734006734006734,0.003842242299924908,False,1,35.960256410256406,2,-1.093194679817504,-0.31170516450500063,0.12919573353178757,-0.9639989462857165,-0.18250943097321307
여의도,0.008333333333333333,0.011287524075180983,0.06956521739130435,0.0038817075451124073,False,1,37.96025641025642,0,-1.0095945262733672,-0.2740155699127593,0.295826064009381,-0.7137684622639862,0.02181049409662167
여의나루,0.008333333333333333,0.016349123331340913,0.07248565388100271,0.0038234941648772414,False,1,38.74358974358975,0,-0.899600970779495,-0.32960976907416106,0.3610896101131045,-0.5385113606663905,0.03147984103894341
마포,0.008333333333333333,0.022526482699076825,0.07672634271099744,0.003653325765378206,False,1,39.45384615384616,2,-0.7653608450734267,-0.49212182136366994,0.42026474029553107,-0.34509610477789565,-0.07185708106813887
공덕,0.016666666666666666,0.07541674968453212,0.08166042871725077,0.0066107354985276085,True,2,38.59358974358976,2,0.38399694133576473,2.3322258636940507,0.34859233532728573,0.7325892766630504,2.6808181990213367
애오개,0.008333333333333333,0.03685993225742177,0.08174386920980926,0.0034126549206655843,False,1,37.52948717948719,2,-0.4538808168005966,-0.7219642187514383,0.25993645436805357,-0.19394436243254304,-0.4620277643833848
서대문,0.008333333333333333,0.031198944012751563,0.08617594254937164,0.003386372025353059,False,1,36.27692307692309,0,-0.5768996875423887,-0.7470645738697987,0.15557886919074113,-0.4213208183516476,-0.5914857046790576
광화문,0.008333333333333333,0.03577239822009698,0.09009009009009009,0.0032445086342963053,False,1,36.293589743589735,0,-0.47751400651635295,-0.8825451383767998,0.15696745527805253,-0.32054655123830045,-0.7255776830987473
청구,0.016666666666666666,0.0904509530450953,0.09876543209876543,0.0056357202021792285,True,2,33.884615384615394,1,0.7107050424628474,1.4010792037400852,-0.043736641495917626,0.6669684009669298,1.3573425622441675
신금호,0.008333333333333333,0.016465016271501647,0.0947119179163378,0.0032520786806057014,False,1,35.27948717948717,1,-0.8970825026235255,-0.8753156893998553,0.0724773325807605,-0.824605170042765,-0.8028383568190948
행당,0.008333333333333333,0.013425732217573224,0.09125475285171103,0.0033710099276178375,False,1,35.070512820512825,1,-0.9631291496077911,-0.7617354883155623,0.055066599332141454,-0.9080625502756496,-0.7066688889834208
마장,0.008333333333333333,0.08561885667795706,0.08708272859216255,0.0035483097303978255,False,1,43.07820512820512,1,0.6056988116231129,-0.5924128943138226,0.7222288071289616,1.3279276187520745,0.12981591281513905
답십리,0.008333333333333333,0.08333968420003987,0.08565310492505353,0.0036681916491443528,False,1,42.10384615384616,1,0.556170140595908,-0.4779247948473131,0.6410499281783413,1.1972200687742491,0.16312513333102818
