호선,역명_표준,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,아침첨두_평균,저녁첨두_평균,낮시간_평균,전체_평균,최대혼잡도,최대혼잡시간,첨두_집중도
5호선,광나루,17.825,19.85,14.175,16.55,20.4,30.075,33.2,40.625,42.925,47.275000000000006,48.725,49.5,49.9,50.575,55.525,56.225,53.55,54.275,54.65,52.224999999999994,54.974999999999994,58.2,59.225,52.775,50.675000000000004,47.775,41.625,36.625,38.85,35.05,39.675,37.525,39.275,36.45,33.675,25.0,22.0,6.300000000000001,0.0,31.075,41.21875,53.96875,39.0698717948718,59.225,16시30분,1.3395483249186182
5호선,광화문,7.875,9.175,7.45,9.725,13.175,17.525,17.35,22.1,24.475,26.45,27.85,27.975,29.95,29.7,34.1,32.8,33.9,35.75,38.025,37.625,40.775,43.425,44.45,43.4,38.675,34.75,31.475,28.825000000000003,27.125,25.425,26.35,25.875,23.65,21.325,19.25,17.2,8.425,0.0,0.0,17.5375,30.54375,32.625,25.21474358974359,44.45,16시30분,1.4737547440994714
5호선,군자,14.399999999999999,19.925,14.325,16.225,19.25,29.3,31.825,40.275000000000006,44.4,46.575,48.225,47.8,49.4,50.775,52.3,52.75,53.675,51.0,50.975,50.6,53.4,53.775,56.95,51.375,48.925,42.825,40.2,36.05,38.25,33.05,37.825,37.725,35.2,36.15,32.725,24.6,21.175,0.0,0.0,30.1625,39.33125,52.375,37.54358974358974,56.95,16시30분,1.3268496166711292
5호선,굽은다리,18.225,13.4,15.675,19.975,22.0,34.300000000000004,37.375,47.275,42.375,50.575,50.824999999999996,50.175,47.150000000000006,49.825,51.4,54.125,50.5,50.449999999999996,49.05,52.849999999999994,52.2,54.15,56.025,54.0,48.375,47.575,43.05,36.8,35.8,32.15,31.85,31.674999999999997,31.7,31.25,28.025,19.05,23.125,5.125,0.0,35.237500000000004,40.80625,51.4625,37.67820512820513,56.025,16시30분,1.4776536025717057
5호선,길동,19.475,14.425,17.425,21.075,23.224999999999998,37.05,40.0,48.550000000000004,44.35,54.724999999999994,54.825,55.275,51.775,54.175,56.425000000000004,59.75,55.975,57.7,53.325,56.849999999999994,58.875,60.175000000000004,62.349999999999994,60.425000000000004,53.375,52.6,47.975,40.9,39.225,35.525,37.675,32.225,35.325,32.925,29.700000000000003,21.525,26.3,7.575000000000001,0.0,37.20625,45.175,56.58125,41.30897435897436,62.349999999999994,16시30분,1.4559814168831298
5호선,김포공항,3.075,3.35,2.725,3.2750000000000004,4.0,5.875,7.3,8.925,9.325,8.425,9.325,9.524999999999999,9.4,9.125,9.2,9.475,9.975,9.75,10.700000000000001,10.45,10.425,10.8,11.75,11.125,10.375,10.05,9.350000000000001,8.175,6.675,6.525,7.25,6.575,6.7,7.075,5.85,4.85,3.725,1.475,0.0,6.525,8.5625,9.44375,7.485897435897439,11.75,16시30분,1.5976173027010139
5호선,까치산,16.175,12.05,10.4,12.175,15.549999999999999,20.65,24.45,29.25,28.925,28.625,29.475,30.1,30.5,32.425,33.35,33.375,32.7,31.675,29.9,30.95,31.925,34.575,33.325,34.25,32.275,28.95,25.975,23.8,19.975,18.975,19.9,19.975,17.65,18.575,15.55,14.025,11.425,5.5,0.0,22.474999999999998,24.674999999999997,32.962500000000006,23.5724358974359,34.575,16시00분,1.4304133051069148
5호선,답십리,14.925,17.724999999999998,12.45,13.925,17.974999999999998,26.225,27.9,36.2,40.974999999999994,41.125,43.825,44.825,46.300000000000004,45.05,49.5,50.4,50.2,47.125,48.675,46.825,51.0,50.4,52.0,49.9,46.025,38.974999999999994,38.4,33.1,32.575,32.9,33.5,33.475,34.275,33.575,31.65,25.150000000000002,17.425,4.7,0.0,27.075,35.7625,48.787499999999994,34.90192307692309,52.0,16시30분,1.287983575957293
5호선,동대문역사문화공원,9.325,17.05,10.575,9.675,12.1,16.725,18.6,23.575,26.125,26.55,29.625,28.5,30.3,30.05,33.275,32.05,33.05,31.85,34.45,33.275,36.175,37.95,38.474999999999994,36.15,33.474999999999994,31.0,27.474999999999998,24.900000000000002,24.25,23.4,22.924999999999997,24.15,21.3,19.825,20.125,18.525,10.275,0.0,0.0,17.75,26.90625,32.10625,24.028205128205126,38.474999999999994,16시30분,1.3908895809728765
5호선,둔촌동,9.175,10.2,9.375,11.175,14.375,21.2,24.325,28.25,25.55,34.125,33.8,35.675,34.725,40.35,42.650000000000006,46.325,43.475,44.525,40.125,40.224999999999994,37.55,38.175,36.775,35.725,27.525,29.825,26.0,24.174999999999997,25.825,24.825000000000003,31.425,36.2,33.2,32.175,21.85,14.85,8.525,0.0,0.0,22.0375,26.45625,43.199999999999996,27.544871794871796,46.325,13시00분,1.1225404832745263
